ε11,ε22,ε12,ɣ13,ɣ23,κ11,κ22,κ12,A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12,K11,K22,K12
1,1,0,0,0.001351351,-0.000459459,0,0,40.90676362,417.1653044,17.97757625,0.017372991,0.030161187,21.30421697,5.280670171,-1.627698564,-0.019609147,0.007767275,0.014114365,0.031347191,1364.297435,5455.735045,599.7819603,0.094242175,0.162140836,699.5910406,7.704833525,48.01908758,0.119526107
1.229054054,0.989324324,0,0,0,0,0,0,39.29229161,347.253911,8.597283033,0.019739477,0.018210633,20.97696229,4.20E-05,-2.10E-05,-4.14E-06,2.02E-05,2.58E-05,6.79E-05,1265.077498,4570.659878,411.240461,5.05E-05,9.61E-05,723.2166364,-2.17E-05,-3.37E-06,-1.26E-05
1.147297297,0.993783784,0,0,0,0,0,0,42.91809724,369.0125593,11.96951193,2.272195705,2.381952267,22.69681676,-8.94E-05,2.99E-05,-1.32E-06,2.18E-05,-3.81E-05,-3.42E-05,1410.009981,4885.780167,474.2115917,0.00020037,-6.46E-05,787.9518794,32.97128187,33.1654993,4.712085091
1,0.984864865,0,0,0.033783784,0,0,0,27.46432646,416.2009355,5.520244503,0.086680777,0.076613096,9.803772421,-6.29E-07,-9.77E-06,-5.20E-06,-1.22E-05,-1.77E-06,-1.02E-05,942.8963615,5354.171411,463.5988287,-0.000138268,-0.000110509,427.5290881,0.000644044,47.31504399,0.162106926
1,1,0,0.041891892,0,0,0,0.004189189,34.73641708,409.7042448,16.17665063,0.043570439,0.049149441,14.78877226,0.000734537,0.00144765,-0.001055902,2.080864506,1.409231903,0.00080178,1166.747841,5221.779696,533.2362653,-0.462816023,-0.515378307,502.6916033,8.089340837,43.93015336,-1.825980614
1,1,0,0.039189189,0,0,0,0,47.60436827,421.2485361,17.65426679,0.118237961,0.181756988,26.74087736,0.000565608,0.000516307,3.47E-06,0.000258249,0.000280262,0.000540948,1286.747022,5400.650318,587.5676315,0.001626241,0.001780919,630.5278849,7.269990323,37.84353325,0.560832262
1.318243243,1,-0.095945946,0,0,0,0,0,35.77471339,302.6367376,15.3289665,-27.36920014,-0.296283823,19.09802277,2.03E-05,3.29E-05,1.04E-05,-7.33E-05,-4.02E-06,3.36E-05,1126.790779,4028.711098,398.9411489,-188.2597258,14.20014855,643.7343129,-0.000205103,0.000166854,-1.91E-05
1,1,0,0.006756757,0.006756757,0,0,0,52.23790177,420.3315269,17.99730179,-0.076153402,-0.029588246,27.30373359,5.61E-06,4.01E-06,-2.05E-06,1.61E-06,1.52E-06,4.85E-06,1778.258278,5581.963151,604.7782118,-0.288711464,-0.124110593,922.7973265,7.64483246,47.58837443,-0.331073385
1.043243243,1,0,0,0,-0.005054054,0,0,32.03363512,400.0842765,16.95386119,0.627678346,0.816301769,18.54695012,30.70542893,-1.978394048,0.08682154,-0.018255164,-0.0100005,5.79821442,1028.639787,5191.728876,546.4715213,-0.980285437,-1.073757855,572.7991476,-0.002426514,-1.96E-06,-0.001214236
1,1,0,-0.013513514,0,0,0,0,52.17102737,420.3664774,18.08251718,0.024236444,0.024513246,27.31823371,1.80E-05,3.74E-05,4.44E-07,1.89E-05,9.21E-06,2.80E-05,1773.824736,5580.504399,605.0618051,0.000124398,5.64E-05,920.3843558,7.687999596,48.2057922,-3.780305912
