A11,A22,A33,A23,A13,A12,B11,B22,B33,B23,B13,B12 ,D11,D22,D33,D23,D13,D12
39.29229161,347.253911,8.597283033,0.019739477,0.018210633,20.97696229,4.2e-05,-2.1e-05,-4.14e-06,2.02e-05,2.58e-05,6.79e-05,1265.077498,4570.659878,411.240461,5.05e-05,9.61e-05,723.2166364
42.91809724,369.0125593,11.96951193,2.272195705,2.381952267,22.69681676,-8.94e-05,2.99e-05,-1.32e-06,2.18e-05,-3.81e-05,-3.42e-05,1410.009981,4885.780167,474.2115917,0.00020037,-6.46e-05,787.9518794
35.77471339,302.6367376,15.3289665,-27.36920014,-0.296283823,19.09802277,2.03e-05,3.29e-05,1.04e-05,-7.33e-05,-4.02e-06,3.36e-05,1126.790779,4028.711098,398.9411489,-188.2597258,14.20014855,643.7343129
32.03363512,400.0842765,16.95386119,0.627678346,0.816301769,18.54695012,30.70542893,-1.978394048,0.08682154,-0.018255164,-0.0100005,5.79821442,1028.639787,5191.728876,546.4715213,-0.980285437,-1.073757855,572.7991476
26.5860078,408.445125,15.11767924,0.734818564,0.548165357,12.83438154,0.976072391,-4.91753045,-0.796991026,0.719494519,0.048439525,-2.913972204,913.9005082,5324.036009,496.7852354,15.09613995,-3.554801532,469.1798155
45.94726946,417.8866111,17.6408874,-0.02837413,-0.031289727,23.62626469,-0.000242338,-9.61e-05,0.002241353,0.89534427,0.411143977,-0.000169678,1546.997773,5466.110677,580.5873039,-0.294532218,-0.730756115,777.3453309
32.44548006,413.6087373,17.48487911,-0.510973658,-0.473414459,16.54870378,3.254438256,3.102567379,0.17607234,0.33441091,0.135759639,3.393926514,1084.61916,5380.756368,586.7952056,-12.76553065,-9.5333527,563.3273636
46.33614885,408.9344465,21.52333273,0.021005098,0.021078576,23.35259903,-1.27e-06,4.48e-06,-3.97e-05,-11.39812217,-0.251098084,-8.2e-06,1573.031244,5324.356289,577.2318839,0.206916998,0.455387087,781.5442567
45.6843212,384.8306238,15.65198954,0.841164964,0.954563125,25.34053344,-7.622103029,0.357261724,-0.095241065,0.185320013,0.242274051,-1.804575469,1518.744772,5066.349627,522.4950373,1.164755133,1.520803416,828.0806478
32.03364279,400.0838339,16.95389009,0.627430139,0.816524486,18.54722494,30.70543774,1.97838534,-0.086831911,0.018271172,0.010063495,9.754594319,1028.639777,5195.231941,546.4712311,0.980117952,1.074027236,574.8781653
52.39436153,420.6792626,18.21518659,-4.718049377,-0.101305273,27.40984994,-4.46e-07,4.67e-06,7.74e-06,4.52e-06,1.84e-06,1.59e-06,1785.130607,5586.438526,606.5567277,-30.16812125,3.40786926,923.7174433
36.31338037,318.8374189,11.14868043,0.055510926,0.040269619,18.38484107,3.5e-05,-2.94e-06,-0.000438723,-0.320608851,15.73701368,4.77e-05,1143.095178,4162.778408,382.2368178,0.010304294,0.002667284,641.1969207
2.644303345,426.76617,14.08968648,0.027652111,0.028255096,-1.816303588,-0.000918237,0.001088903,0.000295599,-2.29e-05,0.000400753,-0.003325556,122.0934953,5188.862157,414.6370672,-0.000527069,-2.81e-05,-25.98398108
37.88765547,319.7902348,25.0640271,0.039068289,0.042006651,16.89751342,0.263020743,-0.364558536,4.653502508,0.009021775,0.0108263,-0.060910814,1261.473926,3846.646184,468.921965,0.076256325,0.431396976,514.0222907
45.88719249,354.8498141,18.39168611,0.018359257,0.016472551,22.25446684,-23.02307126,-0.448938251,-2.453981432,-0.000571108,0.00053629,-8.587164786,1529.693934,4599.646493,514.3918808,0.036217635,0.022802436,753.9431239
43.42855533,370.0018009,14.67752124,0.01690536,0.016886265,23.17947037,-8.598693331,-0.007103129,-0.022269508,4.09e-05,0.000139146,-2.591230198,1432.024909,4880.418674,494.2867521,-0.156195136,-0.160200897,789.7342951
26.07679386,407.481775,15.72489402,0.020692149,0.026198381,12.91536337,0.781343738,5.350700435,1.276680221,-0.002670013,-0.004589077,3.598244717,892.4472799,5320.676492,495.2358853,-0.003770455,0.016820999,473.6054255
33.6609907,255.9155615,23.75268273,0.012557961,0.022663277,4.971547386,-8.192559291,-0.915358954,-8.287348266,0.000556468,0.003950787,-4.096623048,1188.704627,2934.23756,305.4829502,0.477464928,0.064969116,441.228528
45.65314306,384.0728273,15.58084881,0.499151803,0.535267975,24.87982758,-5.05e-05,-6.19e-06,-3.2e-08,9.48e-06,-2.69e-05,-2.09e-05,1518.324198,5064.382207,523.5447481,1.83e-05,-0.000177517,826.7314989
37.21181658,324.1770831,12.47064442,-12.52424327,-0.078544371,19.35433828,3.66e-05,2.53e-05,-1.18e-05,-1.33e-05,5.22e-05,2.31e-05,1184.563069,4260.368326,403.6134819,-84.74121707,6.70756054,669.4154717
38.80794573,339.0200344,12.72652698,0.020370182,0.017686792,20.31864569,3.45e-05,-1.31e-07,2.06e-06,-1.44e-05,-3.71e-06,2.21e-05,1250.238732,4445.083599,427.3326895,-2.69e-05,-6.65e-05,702.3424328
41.62637105,413.3104595,17.39890559,14.31625513,3.817273428,20.23193101,4.941715707,2.713270836,-7.757304483,11.67677424,11.61392879,3.44370891,1395.095595,5364.944422,561.432745,161.8893389,110.3810225,658.1014565
37.19735873,326.7642469,11.69526947,0.026824913,0.019076861,19.14470103,7.08e-06,-2.37e-05,-0.00033593,0.435793218,-12.59588533,1.86e-06,1182.637143,4274.086704,399.2339997,-0.007920012,-0.001133879,665.0522892
26.26727764,407.7828785,15.34432283,7.894123215,0.551375053,12.9458785,0.837830108,-5.032318594,-23.19086963,3.36963441,1.044028328,-2.909480473,900.9636829,5322.683456,493.3230567,74.11853825,8.443240801,474.5364985
3.023234057,436.6354031,3.156002485,0.037188066,0.037198789,-2.629081743,7.47e-05,-0.00017009,-8.65e-07,-0.000107111,2.57e-05,-4.84e-05,143.4066333,5245.333937,333.8641438,-0.000800537,7.63e-05,-60.86374601
28.90627935,400.7800518,18.17419651,28.69266469,7.443398367,11.42765463,-2.471525147,-2.547517566,-17.80915225,30.62696679,23.640919,-2.293826244,949.9664885,5084.806463,534.8650307,334.4824735,223.6811439,346.7322147
